"NOMS";"PRENOMS";"PHOTOS";"NATIONALITE";"Temps_L1";"Temps_L2";"Temps_N1";"Temps_N2";"Temps_N3";"Temps_Coupe_France";"Temps_Etranger_Jeunes";"Cartons_jaunes";"Dont_Second_jaunes";"Cartons_rouges";"Agent";"Valeur_Marchande";"URL_Profil";"Date_Naissance";"Position_Principale";"Forme_A";"Pied_Fort";"Taille";"Club_actuel";"Photo_Club";"Pays_Club_actuel";"Titu_25_26";"Nombre_Matchs_Equipe_25_26";"Pourcentage_titu_25_26";"Buts_25_26";"Passes_25_26";"Division_25_26";"Groupes_25_26";"Pays_25_26";"Titu_24_25";"Nombre_Matchs_Equipe_24_25";"Pourcentage_titu_24_25";"Buts_24_25";"Passes_24_25";"Division_24_25";"Groupes_24_25";"Pays_24_25";"Titu_23_24";"Nombre_Matchs_Equipe_23_24";"Pourcentage_titu_23_24";"Buts_23_24";"Passes_23_24";"Division_23_24";"Groupes_23_24";"Pays_23_24";"Titu_22_23";"Nombre_Matchs_Equipe_22_23";"Pourcentage_titu_22_23";"Buts_22_23";"Passes_22_23";"Division_22_23";"Groupes_22_23";"Pays_22_23";"Fin_contrat"
"Pain";"Ilan";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;1080;0;0;1710;3;0;0;"Kemari";"";"https://www.transfermarkt.fr/ilan-pain/profil/spieler/1289515";"3 janv. 2007 (19)";" / ";"FC Lorient";"";"1,90 m";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";17;36;0,47;0;0;"N2";"A";"France";14;26;0,54;0;0;"U19 NAT";"C";"France";0;0;0;0;0;"";"";"";0;0;0;0;0;"";"";"";""
"Fofana";"Bahliseny";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;1440;1260;0;1702;0;0;0;"FAIR SPORT MNG";"";"https://www.transfermarkt.fr/bahliseny-fofana/profil/spieler/1169939";"4 août 2007 (18)";" / ";"";"";"1,92 m";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";20;34;0,59;0;0;"N2";"A";"France";18;42;0,43;0;0;"N3";"VL";"France";11;31;0,35;0;0;"U19 NAT";"F";"France";0;1;0;0;0;"U19 NAT";"C";"France";""
"Leaudais";"Lucas";"https://img.a.transfermarkt.technology/portrait/header/1180573-1741356873.png?lm=1";"France";0;0;0;2696;0;69;1800;9;0;0;NA;"";"https://www.transfermarkt.fr/lucas-leaudais/profil/spieler/1180573";"26 sept. 2004 (21)";"Défenseur central / Milieu défensif";"SC Air Bel";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";13;67;0,19;1;0;"N2";"A";"France";16;30;0,53;1;1;"N2";"A";"France";1;7;0,14;0;0;"N2";"A";"France";20;27;0,74;0;0;"U19 NAT";"D";"France";""
"Akakpo";"Izak";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"Togo";0;0;334;1209;2626;115;0;5;0;2;"FERGIETIME";"";"https://www.transfermarkt.fr/izak-akakpo/profil/spieler/1079441";"28 févr. 2004 (22)";" / ";"Dijon FCO";"";"1,88 m";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";15;52;0,29;0;0;"N2";"A";"France";21;63;0,33;0;0;"N3";"HF";"France";11;26;0,42;2;0;"N3";"BF";"France";3;26;0,12;0;0;"N3";"BF";"France";""
"Marchal";"Noam";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;328;940;0;1196;7;0;0;"USM GROUP";"";"https://www.transfermarkt.fr/noam-marchal/profil/spieler/1178884";"20 mars 2006 (20)";"Défenseur central / Milieu défensif";"FC Lorient";"";"1,86 m";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";2;30;0,07;1;0;"N2";"A";"France";2;27;0,07;1;0;"N3";"VL";"France";19;54;0,35;1;0;"U19 NAT";"B";"France";3;5;0,6;1;0;"U19 NAT";"B";"France";""
"Siba";"Stevan";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;1650;1271;0;2290;9;1;0;NA;"";"https://www.transfermarkt.fr/stevan-siba/profil/spieler/1047105";"31 déc. 2006 (19)";"Défenseur central / Arrière droit";"FC Lorient";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";15;67;0,22;0;0;"N2";"A";"France";15;26;0,58;0;0;"N3";"VL";"France";25;36;0,69;0;0;"U19 NAT";"F";"France";4;5;0,8;1;0;"U19 NAT";"C";"France";""
"Borval";"Cyril";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;2267;3519;0;1883;19;1;0;NA;"";"https://www.transfermarkt.fr/cyril-borval/profil/spieler/1080516";"30 janv. 2005 (21)";"Arrière gauche / Milieu gauche";"Stade Rennais FC";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";15;30;0,5;1;0;"N2";"A";"France";20;26;0,77;0;0;"N3";"VL";"France";21;29;0,72;1;0;"N3";"BR";"France";29;47;0,62;1;0;"N2";"A";"France";""
"Monnier";"Isaac";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;1385;1296;33;1669;10;0;1;"ISF SPORTS";"";"https://www.transfermarkt.fr/isaac-monnier/profil/spieler/1169128";"9 sept. 2006 (19)";"Arrière gauche / Défenseur central";"";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";16;63;0,25;0;0;"N2";"A";"France";15;28;0,54;0;1;"N3";"VL";"France";13;31;0,42;0;0;"U19 NAT";"F";"France";2;5;0,4;0;0;"U19 NAT";"C";"France";""
"Le";"Noah";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;1133;687;0;2187;7;0;0;"Ltma Consulting";"";"https://www.transfermarkt.fr/noah-le-gal/profil/spieler/1176375";"23 avr. 2007 (19)";"Arrière gauche / Milieu droit";"";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";14;54;0,26;1;0;"N2";"A";"France";12;31;0,39;0;0;"N3";"VL";"France";16;31;0,52;0;0;"U19 NAT";"F";"France";0;0;0;0;0;"";"";"";""
"Brault";"Matis";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;381;1700;512;0;1;0;0;NA;"";"https://www.transfermarkt.fr/matis-brault/profil/spieler/965580";"30 déc. 2003 (22)";"Arrière droit / Milieu droit";"USJA Carquefou";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";5;30;0,17;0;0;"N2";"A";"France";24;31;0,77;2;4;"N3";"NA";"France";0;0;0;0;0;"";"";"";0;0;0;0;0;"";"";"";""
"Semenyo";"Jai";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;77;0;0;841;4;0;0;NA;"";"https://www.transfermarkt.fr/jai-semenyo/profil/spieler/944651";"13 juil. 2003 (22)";"Arrière droit / Arrière gauche";"";"";"1,82 m";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";1;22;0,05;0;0;"N2";"A";"France";7;46;0,15;1;0;"Division étrangère";"";"France";1;53;0,02;0;0;"L2";"";"Angleterre";0;55;0;0;0;"L2";"";"Angleterre";""
"Semedo";"Daniel";"https://img.a.transfermarkt.technology/portrait/header/1144121-1726095535.jpeg?lm=1";"Portugal";10;0;0;2132;606;0;0;7;0;0;"SAS ASSIST & GOAL";"";"https://www.transfermarkt.fr/daniel-semedo/profil/spieler/1144121";"25 oct. 2003 (22)";"Milieu central / Milieu défensif";"RC Grasse";"";"1,77 m";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";18;51;0,35;1;0;"N2";"A";"France";12;30;0,4;0;0;"N3";"VL";"France";3;27;0,11;0;0;"N2";"A";"France";0;1;0;0;0;"N2";"C";"France";""
"Diop";"Samba";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;1250;671;0;1141;11;0;1;"USFA Management";"";"https://www.transfermarkt.fr/samba-diop/profil/spieler/1273019";"6 janv. 2006 (20)";"Milieu central / Défenseur central";"";"";"1,89 m";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";12;27;0,44;1;0;"N2";"A";"France";14;42;0,33;1;1;"N3";"VL";"France";4;4;1;1;0;"Division étrangère";"";"France";0;0;0;0;0;"";"";"";""
"Belarbi";"Sohaib";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;2076;0;0;528;2;0;0;"Binary Sports Group";"";"https://www.transfermarkt.fr/sohaib-belarbi/profil/spieler/1159984";"15 juin 2005 (20)";"Milieu central / Milieu offensif";"Le Havre AC";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";13;30;0,43;0;0;"N2";"A";"France";10;20;0,5;2;0;"N2";"C";"France";0;29;0;0;0;"U19 NAT";"A";"France";5;29;0,17;1;0;"U19 NAT";"A";"France";""
"Mouledous";"Antton";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;3243;0;0;670;9;0;1;"Kemari";"";"https://www.transfermarkt.fr/antton-mouledous/profil/spieler/1299898";"26 avr. 2007 (19)";"Milieu droit / Milieu central";"FC Lorient";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";25;30;0,83;4;2;"N2";"A";"France";21;51;0,41;3;1;"N2";"A";"France";0;0;0;0;0;"";"";"";0;0;0;0;0;"";"";"";""
"Macon";"Baptiste";"https://img.a.transfermarkt.technology/portrait/header/990768-1704368736.png?lm=1";"France";0;0;76;3452;150;92;3111;8;0;1;"SRM";"";"https://www.transfermarkt.fr/baptiste-macon/profil/spieler/990768";"12 mai 2004 (22)";"Milieu gauche / Milieu offensif";"LOSC Lille";"";"1,69 m";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";15;30;0,5;2;3;"N2";"A";"France";13;34;0,38;0;1;"N2";"A";"France";7;29;0,24;1;1;"N2";"A";"France";19;38;0,5;1;0;"U19 NAT";"A";"France";""
"Fromager";"Côme";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;330;1377;1479;0;0;4;0;0;"SRM";"";"https://www.transfermarkt.fr/come-fromager/profil/spieler/1156404";"8 août 2003 (22)";"Milieu offensif / Milieu gauche";"";"";"1,69 m";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";16;67;0,24;5;2;"N2";"A";"France";16;51;0,31;8;8;"N3";"VL";"France";3;35;0,09;0;0;"N1/L3";"";"France";0;0;0;0;0;"";"";"";""
"Bley";"Martin";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";1;0;0;1207;0;1;357;6;2;1;"New Stars Football ...";"";"https://www.transfermarkt.fr/martin-bley/profil/spieler/1173050";"23 janv. 2006 (20)";"Milieu offensif / Milieu central";"New Stars FC";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";15;63;0,24;0;1;"N2";"A";"France";0;19;0;0;0;"N3";"PL";"France";4;4;1;0;0;"Division étrangère";"";"Étranger";0;0;0;0;0;"";"";"";""
"Hmamouch";"Mohamed-Anouar";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"Maroc";0;0;0;472;0;0;2584;4;0;0;"FAIR SPORT MNG";"";"https://www.transfermarkt.fr/mohamed-anouar-hmamouch/profil/spieler/1093309";"8 juil. 2006 (19)";" / ";"";"";"1,75 m";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";1;30;0,03;0;2;"N2";"A";"France";11;25;0,44;6;0;"U19 NAT";"C";"France";13;39;0,33;1;0;"U19 NAT";"C";"France";11;16;0,69;2;0;"U19 NAT";"F";"France";""
"Salomon";"Enzo";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;79;52;0;3753;4;0;0;"Hagen";"";"https://www.transfermarkt.fr/enzo-salomon/profil/spieler/1306678";"4 avr. 2007 (19)";"Ailier gauche / Ailier droit";"FC Lorient";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";23;55;0,42;11;0;"N2";"A";"France";24;30;0,8;4;0;"N3";"VL";"France";0;0;0;0;0;"";"";"";0;0;0;0;0;"";"";"";""
"Lyakoubi";"Oussama";"https://img.a.transfermarkt.technology/portrait/header/1028116-1738788002.png?lm=1";"Maroc";0;0;0;56;1344;0;1048;6;0;0;"BBC Management";"";"https://www.transfermarkt.fr/oussama-lyakoubi/profil/spieler/1028116";"23 avr. 2005 (21)";"Ailier droit / Ailier gauche";"Racing Strasbourg";"";"1,81 m";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";1;28;0,04;0;0;"N2";"A";"France";4;26;0,15;1;1;"N3";"IF";"France";15;59;0,25;3;2;"Division étrangère";"";"Maroc";2;16;0,12;1;0;"Division étrangère";"";"Maroc";""
"Haribou";"Samir";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;2065;486;0;2365;1;0;0;"AS1";"";"https://www.transfermarkt.fr/samir-haribou/profil/spieler/1170232";"18 avr. 2007 (19)";" / ";"FC Lorient";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";15;30;0,5;4;1;"N2";"A";"France";9;31;0,29;7;2;"N3";"VL";"France";29;42;0,69;26;0;"U19 NAT";"F";"France";0;1;0;1;0;"U19 NAT";"C";"France";""
"El";"Salah-Dine";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;1474;0;0;78;1;0;0;NA;"";"https://www.transfermarkt.fr/salah-dine-el-mezouari/profil/spieler/1214494";"26 juin 2004 (21)";"Avant-centre / Ailier gauche";"Football Club 93 Bobigny";"";"1,82 m";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";16;28;0,57;0;3;"N2";"A";"France";0;0;0;0;0;"";"";"";2;6;0,33;0;0;"N2";"C";"France";0;26;0;0;0;"U19 NAT";"B";"France";""
"Koné";"Mamadou";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;1457;0;44;0;2;0;0;NA;"";"https://www.transfermarkt.fr/mamadou-kone/profil/spieler/1459673";"20 nov. 2006 (19)";" / ";"";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";16;48;0,33;10;0;"N2";"A";"France";0;0;0;0;0;"";"";"";0;0;0;0;0;"";"";"";0;0;0;0;0;"";"";"";""
"Allagbé";"Saturnin";"https://img.a.transfermarkt.technology/portrait/header/274958-1766056431.png?lm=1";"Bénin";1080;11443;90;2340;1620;810;4852;16;0;0;"turfu zone";"";"https://www.transfermarkt.fr/saturnin-allagbe/profil/spieler/274958";"22 nov. 1993 (32)";" / ";"";"";"1,89 m";"FC Chauray";"https://tmssl.akamaized.net//images/wappen/normquad/26856.png?lm=1765920278";"France";26;34;0,76;0;0;"N2";"A";"France";5;45;0,11;0;0;"Division étrangère";"";"Étranger";12;62;0,19;0;0;"L2";"";"Étranger";8;42;0,19;0;0;"L2";"";"France";""
"Mayoulika";"Mattéo";"https://img.a.transfermarkt.technology/portrait/header/1071950-1765920079.png?lm=1";"";0;0;0;360;519;90;949;1;0;2;NA;"";"https://www.transfermarkt.fr/matteo-mayoulika/profil/spieler/1071950";"18 mars 2004 (22)";" / ";"Chamois Niortais";"";"";"FC Chauray";"https://tmssl.akamaized.net//images/wappen/normquad/26856.png?lm=1765920278";"France";5;31;0,16;0;0;"N2";"A";"France";0;2;0;0;0;"Division étrangère";"";"France";4;39;0,1;0;0;"N1/L3";"";"France";13;51;0,25;0;0;"N3";"NA";"France";""
"Touré";"Salimou";"https://img.a.transfermarkt.technology/portrait/header/437539-1766056541.png?lm=1";"Guinée";0;0;0;10458;6373;749;33;36;0;2;"RT Management & ...";"";"https://www.transfermarkt.fr/salimou-toure/profil/spieler/437539";"6 avr. 1996 (30)";"Défenseur central / Milieu défensif";"Le Poiré-sur-Vie";"";"1,99 m";"FC Chauray";"https://tmssl.akamaized.net//images/wappen/normquad/26856.png?lm=1765920278";"France";31;31;1;1;0;"N2";"A";"France";26;31;0,84;0;0;"N2";"B";"France";25;27;0,93;0;0;"N3";"PL";"France";23;26;0,88;3;0;"N3";"PL";"France";""
"Abese";"Otchowan";"https://img.a.transfermarkt.technology/portrait/header/1071949-1766056761.png?lm=1";"";0;0;0;1320;4088;180;1035;14;2;0;NA;"";"https://www.transfermarkt.fr/otchowan-abese/profil/spieler/1071949";"19 janv. 2005 (21)";"Défenseur central / Arrière droit";"";"";"";"FC Chauray";"https://tmssl.akamaized.net//images/wappen/normquad/26856.png?lm=1765920278";"France";14;31;0,45;1;1;"N2";"A";"France";19;25;0,76;0;1;"N3";"NA";"France";13;26;0,5;0;0;"N3";"PL";"France";24;51;0,47;0;0;"N3";"NA";"France";""
"Cissé";"Balamine";"https://img.a.transfermarkt.technology/portrait/header/876271-1766056748.png?lm=1";"France";0;0;0;2222;3769;180;0;7;1;1;NA;"";"https://www.transfermarkt.fr/balamine-cisse/profil/spieler/876271";"14 août 2001 (24)";" / ";"";"";"1,96 m";"FC Chauray";"https://tmssl.akamaized.net//images/wappen/normquad/26856.png?lm=1765920278";"France";25;31;0,81;2;0;"N2";"A";"France";17;27;0,63;3;0;"N3";"NA";"France";26;27;0,96;0;0;"N3";"PL";"France";0;0;0;0;0;"";"";"";""
"Delguel";"Gabin";"https://img.a.transfermarkt.technology/portrait/header/804720-1766056615.png?lm=1";"France";0;46;0;74;3567;270;0;6;0;1;NA;"";"https://www.transfermarkt.fr/gabin-delguel/profil/spieler/804720";"20 janv. 2001 (25)";"Arrière gauche / Défenseur central";"";"";"1,82 m";"FC Chauray";"https://tmssl.akamaized.net//images/wappen/normquad/26856.png?lm=1765920278";"France";0;10;0;0;0;"N2";"A";"France";24;29;0,83;1;1;"N3";"IF";"France";8;26;0,31;0;0;"N3";"GE";"France";0;0;0;0;0;"";"";"";""
"Dupont";"Hugo";"https://img.a.transfermarkt.technology/portrait/header/927761-1766056605.png?lm=1";"";0;0;0;4453;3005;0;2124;11;0;0;"HMK Consulting";"";"https://www.transfermarkt.fr/hugo-dupont/profil/spieler/927761";"24 janv. 2003 (23)";"Arrière gauche / Arrière droit";"Olympique de Marseille";"";"1,74 m";"FC Chauray";"https://tmssl.akamaized.net//images/wappen/normquad/26856.png?lm=1765920278";"France";28;31;0,9;0;3;"N2";"A";"France";16;43;0,37;0;0;"N3";"VL";"France";20;26;0,77;0;0;"N2";"C";"France";17;24;0,71;0;0;"N3";"CM";"France";""
"Guiheneuf";"Mathéo";"https://img.a.transfermarkt.technology/portrait/header/1309124-1766056591.png?lm=1";"France";0;0;0;1953;1472;20;0;4;1;1;"DK SPORT CONSEIL";"";"https://www.transfermarkt.fr/matheo-guiheneuf/profil/spieler/1309124";"21 déc. 2006 (19)";" / ";"Chamois Niortais FC";"";"";"FC Chauray";"https://tmssl.akamaized.net//images/wappen/normquad/26856.png?lm=1765920278";"France";23;31;0,74;0;0;"N2";"A";"France";16;27;0,59;0;1;"N3";"NA";"France";0;0;0;0;0;"";"";"";0;0;0;0;0;"";"";"";""
"Tchimbembé";"Warren";"https://img.a.transfermarkt.technology/portrait/header/591914-1697465811.png?lm=1";"Congo";692;1452;0;2033;5452;343;497;14;1;0;"FAIR SPORT MNG";"";"https://www.transfermarkt.fr/warren-tchimbembe/profil/spieler/591914";"21 avr. 1998 (28)";"Milieu défensif / Milieu central";"ESTAC Troyes";"";"1,80 m";"FC Chauray";"https://tmssl.akamaized.net//images/wappen/normquad/26856.png?lm=1765920278";"France";14;35;0,4;1;1;"N2";"A";"France";0;0;0;0;0;"";"";"";5;42;0,12;1;0;"L1";"";"France";9;45;0,2;1;2;"L2";"";"France";""
"Yoncourt";"Jérôme";"https://img.a.transfermarkt.technology/portrait/header/815368-1766057288.png?lm=1";"";0;0;0;4920;4742;272;0;17;0;0;NA;"";"https://www.transfermarkt.fr/jerome-yoncourt/profil/spieler/815368";"14 sept. 1998 (27)";"Milieu défensif / Milieu central";"Trélissac FC";"";"1,79 m";"FC Chauray";"https://tmssl.akamaized.net//images/wappen/normquad/26856.png?lm=1765920278";"France";12;31;0,39;0;0;"N2";"A";"France";24;27;0,89;0;0;"N3";"NA";"France";15;28;0,54;0;0;"N3";"NA";"France";15;27;0,56;2;0;"N3";"NA";"France";""
"Alic";"Haris";"https://img.a.transfermarkt.technology/portrait/header/846457-1766057248.png?lm=1";"";0;0;0;1020;5684;540;0;18;0;0;NA;"";"https://www.transfermarkt.fr/haris-alic/profil/spieler/846457";"22 juin 1994 (31)";" / ";"";"";"";"FC Chauray";"https://tmssl.akamaized.net//images/wappen/normquad/26856.png?lm=1765920278";"France";11;31;0,35;0;1;"N2";"A";"France";24;27;0,89;3;3;"N3";"NA";"France";26;27;0,96;2;2;"N3";"PL";"France";1;1;1;0;0;"Division étrangère";"";"France";""
"Barcq";"Benjamin";"https://img.a.transfermarkt.technology/portrait/header/740771-1669648516.png?lm=1";"France";0;0;0;9737;3114;642;78;18;0;0;NA;"";"https://www.transfermarkt.fr/benjamin-barcq/profil/spieler/740771";"15 août 1997 (28)";"Milieu central / Milieu défensif";"Chamois Niortais FC";"";"1,76 m";"FC Chauray";"https://tmssl.akamaized.net//images/wappen/normquad/26856.png?lm=1765920278";"France";16;17;0,94;0;0;"N2";"A";"France";19;34;0,56;0;0;"N2";"A";"France";19;28;0,68;1;0;"N2";"B";"France";26;31;0,84;5;1;"N2";"D";"France";""
"Do";"Alexy";"https://img.a.transfermarkt.technology/portrait/header/1149502-1766057169.png?lm=1";"France";0;0;0;792;3609;58;0;10;0;0;"ARANEA";"";"https://www.transfermarkt.fr/alexy-do-rogeiro/profil/spieler/1149502";"17 mars 2001 (25)";"Milieu central / Milieu défensif";"";"";"1,90 m";"FC Chauray";"https://tmssl.akamaized.net//images/wappen/normquad/26856.png?lm=1765920278";"France";10;31;0,32;0;0;"N2";"A";"France";21;27;0,78;0;2;"N3";"NA";"France";19;27;0,7;2;0;"N3";"PL";"France";0;0;0;0;0;"";"";"";""
"Lim";"Ilyes";"https://img.a.transfermarkt.technology/portrait/header/1151006-1766057148.png?lm=1";"France";0;0;0;397;338;10;1365;11;0;0;NA;"";"https://www.transfermarkt.fr/ilyes-lim/profil/spieler/1151006";"15 janv. 2005 (21)";"Milieu central / Milieu central";"";"";"1,87 m";"FC Chauray";"https://tmssl.akamaized.net//images/wappen/normquad/26856.png?lm=1765920278";"France";3;31;0,1;1;0;"N2";"A";"France";0;2;0;0;0;"Division étrangère";"";"France";3;26;0,12;0;0;"N3";"PL";"France";14;28;0,5;1;0;"U19 NAT";"C";"France";""
"Djigla";"David";"https://img.a.transfermarkt.technology/portrait/header/228900-1669138809.jpg?lm=1";"Bénin";3;6745;0;1481;501;692;1417;21;0;1;NA;"";"https://www.transfermarkt.fr/david-djigla/profil/spieler/228900";"23 août 1995 (30)";"Milieu gauche / Ailier droit";"FC Girondins de Bordeaux";"";"1,75 m";"FC Chauray";"https://tmssl.akamaized.net//images/wappen/normquad/26856.png?lm=1765920278";"France";0;0;0;0;0;"";"";"";0;0;0;0;0;"";"";"";0;0;0;0;0;"";"";"";0;3;0;0;0;"N2";"D";"France";""
"Grain";"Jérémy";"https://img.a.transfermarkt.technology/portrait/header/355373-1766057309.png?lm=1";"France";0;20;4539;6770;2646;1104;2238;33;0;2;"Famille";"";"https://www.transfermarkt.fr/jeremy-grain/profil/spieler/355373";"21 oct. 1994 (31)";"Milieu offensif / Ailier droit";"Chamois Niortais FC";"";"1,70 m";"FC Chauray";"https://tmssl.akamaized.net//images/wappen/normquad/26856.png?lm=1765920278";"France";27;31;0,87;7;1;"N2";"A";"France";18;58;0,31;6;6;"N2";"B";"France";16;30;0,53;2;1;"N2";"B";"France";8;38;0,21;2;1;"N2";"D";"France";""
"Luyinga";"Jilvaro";"https://img.a.transfermarkt.technology/portrait/header/1001235-1766057412.png?lm=1";"France";0;0;0;2771;2142;288;0;14;0;3;NA;"";"https://www.transfermarkt.fr/jilvaro-luyinga/profil/spieler/1001235";"3 nov. 2001 (24)";"Ailier gauche / Ailier droit";"US Torcy-Paris";"";"1,74 m";"FC Chauray";"https://tmssl.akamaized.net//images/wappen/normquad/26856.png?lm=1765920278";"France";20;31;0,65;1;3;"N2";"A";"France";10;28;0,36;3;2;"N3";"NA";"France";20;30;0,67;1;0;"N3";"HF";"France";6;30;0,2;2;1;"N2";"A";"France";""
"Godame";"Tieri";"https://img.a.transfermarkt.technology/portrait/header/1052641-1766057378.png?lm=1";"République Centrafricaine";0;12;0;1605;6752;232;171;10;0;0;"MGM TALENTS";"";"https://www.transfermarkt.fr/tieri-godame/profil/spieler/1052641";"9 juil. 2002 (23)";"Ailier droit / Avant-centre";"USSA Vertou";"";"1,83 m";"FC Chauray";"https://tmssl.akamaized.net//images/wappen/normquad/26856.png?lm=1765920278";"France";19;31;0,61;8;0;"N2";"A";"France";23;70;0,33;9;6;"N3";"VL";"France";26;32;0,81;18;4;"L2";"";"Étranger";22;26;0,85;8;2;"N3";"PL";"France";""
"Bassock";"Daouda";"https://img.a.transfermarkt.technology/portrait/header/383370-1766057367.png?lm=1";"Cameroun";0;167;0;160;6736;238;0;8;0;0;NA;"";"https://www.transfermarkt.fr/daouda-bassock/profil/spieler/383370";"13 mars 1995 (31)";"Ailier droit / Ailier gauche";"";"";"1,67 m";"FC Chauray";"https://tmssl.akamaized.net//images/wappen/normquad/26856.png?lm=1765920278";"France";1;31;0,03;0;1;"N2";"A";"France";0;1;0;0;0;"Division étrangère";"";"France";0;0;0;0;0;"";"";"";23;26;0,88;8;0;"N3";"PL";"France";""
"Dembélé";"Doua";"https://img.a.transfermarkt.technology/portrait/header/1299631-1726487363.png?lm=1";"France";0;0;337;307;1277;0;0;1;0;0;"Goalactic";"";"https://www.transfermarkt.fr/doua-dembele/profil/spieler/1299631";"27 août 2001 (24)";" / ";"";"";"1,82 m";"FC Chauray";"https://tmssl.akamaized.net//images/wappen/normquad/26856.png?lm=1765920278";"France";13;33;0,39;2;2;"N2";"A";"France";9;50;0,18;2;1;"N1/L3";"";"France";0;0;0;0;0;"";"";"";0;0;0;0;0;"";"";"";""
"Agamah";"Hammond";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;1677;5619;40;0;10;1;1;NA;"";"https://www.transfermarkt.fr/hammond-agamah/profil/spieler/941252";"4 févr. 1997 (29)";" / ";"Jeanne d'Arc de Drancy";"";"1,87 m";"FC Chauray";"https://tmssl.akamaized.net//images/wappen/normquad/26856.png?lm=1765920278";"France";15;32;0,47;6;1;"N2";"A";"France";24;26;0,92;17;4;"N3";"NA";"France";0;30;0;1;0;"N2";"B";"France";21;27;0,78;14;0;"N3";"NA";"France";""
